Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Both,1,Hypoxic,4,O,37,T,Both1_Hypoxic4_O37_T,,,226,
2024,Both,2,Hypoxic,4,O,40,S,Both2_Hypoxic4_O40_S,,,227,
2024,Both,2,Hypoxic,4,O,40,T,Both2_Hypoxic4_O40_T,,,228,
2024,Control,1,Hypoxic,4,W,38,S,Control1_Hypoxic4_W38_S,,,229,
2024,Control,1,Hypoxic,4,W,38,T,Control1_Hypoxic4_W38_T,,,230,
2024,Control,2,Hypoxic,4,W,40,S,Control2_Hypoxic4_W40_S,,,231,
2024,Control,2,Hypoxic,4,W,40,T,Control2_Hypoxic4_W40_T,,,232,
2024,Hypoxic,4,Hypoxic,4,B,43,S,Hypoxic4_Hypoxic4_B43_S,,,233,
2024,Hypoxic,4,Hypoxic,4,B,43,T,Hypoxic4_Hypoxic4_B43_T,,,234,
2024,Hypoxic,6,Hypoxic,4,B,47,S,Hypoxic6_Hypoxic4_B47_S,,,235,
2024,Hypoxic,6,Hypoxic,4,B,47,T,Hypoxic6_Hypoxic4_B47_T,,,236,
2024,Warm,3,Hypoxic,4,G,41,S,Warm3_Hypoxic4_G41_S,,,237,
2024,Warm,3,Hypoxic,4,G,41,T,Warm3_Hypoxic4_G41_T,,,238,
2024,Warm,4,Hypoxic,4,G,44,S,Warm4_Hypoxic4_G44_S,,,239,
2024,Warm,4,Hypoxic,4,G,44,T,Warm4_Hypoxic4_G44_T,,,240,
2024,Both,2,Warm,4,O,40,S,Both2_Warm4_O40_S,157,,241,
2024,Both,2,Warm,4,O,40,T,Both2_Warm4_O40_T,160,,242,
2024,Both,5,Warm,4,O,46,S,Both5_Warm4_O46_S,153,,243,
2024,Both,5,Warm,4,O,46,T,Both5_Warm4_O46_T,156,,244,
2024,Control,1,Warm,4,W,38,S,Control1_Warm4_W38_S,152,,245,
2024,Control,1,Warm,4,W,38,T,Control1_Warm4_W38_T,155,,246,
2024,Control,6,Warm,4,W,47,S,Control6_Warm4_W47_S,126,,247,
2024,Control,6,Warm,4,W,47,T,Control6_Warm4_W47_T,125,,248,
2024,Hypoxic,3,Warm,4,B,42,S,Hypoxic3_Warm4_B42_S,151,SKM 3/21 Started with this one today,249,
2024,Hypoxic,3,Warm,4,B,42,T,Hypoxic3_Warm4_B42_T,154,,250,
2024,Hypoxic,4,Warm,4,B,44,S,Hypoxic4_Warm4_B44_S,127,,251,
2024,Hypoxic,4,Warm,4,B,44,T,Hypoxic4_Warm4_B44_T,150,SC 3/21 Ended with this one today,252,
2024,Warm,3,Warm,4,G,41,S,Warm3_Warm4_G41_S,128,SC 3/5 Ended with this one today,253,
2024,Warm,3,Warm,4,G,41,T,Warm3_Warm4_G41_T,149,,254,
2024,Warm,4,Warm,4,G,44,S,Warm4_Warm4_G44_S,146,,255,
2024,Warm,4,Warm,4,G,44,T,Warm4_Warm4_G44_T,143,SC 3/21 Started with this one today,256,
2024,Both,4,Both,5,O,56,S,Both4_Both5_O56_S,68,,257,
2024,Both,4,Both,5,O,56,T,Both4_Both5_O56_T,65,,258,
2024,Both,5,Both,5,O,57,S,Both5_Both5_O57_S,85,,259,
2024,Both,5,Both,5,O,57,T,Both5_Both5_O57_T,101,,260,
2024,Control,2,Both,5,W,52,S,Control2_Both5_W52_S,70,,261,
2024,Control,2,Both,5,W,52,T,Control2_Both5_W52_T,66,,262,
2024,Control,3,Both,5,W,54,S,Control3_Both5_W54_S,73,,263,
2024,Control,3,Both,5,W,54,T,Control3_Both5_W54_T,74,,264,
2024,Hypoxic,1,Both,5,B,49,S,Hypoxic1_Both5_B49_S,72,,265,
