Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
178,6262024,2024,Warm,05,Null,NA,G,34,2024_Warm05_Null_G34,200.8,543.5,double,
179,6262024,2024,Warm,05,Null,NA,G,35,2024_Warm05_Null_G35,100.4,250.8,single,
180,6262024,2024,Warm,05,Null,NA,G,36,2024_Warm05_Null_G36,160,492.5,double,
181,6262024,2024,Warm,05,Null,NA,G,37,2024_Warm05_Null_G37,93.1,226.1,double,
182,6262024,2024,Warm,05,Null,NA,G,38,2024_Warm05_Null_G38,142.5,415.4,triple,
183,6262024,2024,Warm,05,Null,NA,G,39,2024_Warm05_Null_G39,9.6,20.5,dead,
184,6262024,2024,Warm,05,Null,NA,G,40,2024_Warm05_Null_G40,31.2,76.9,double,
185,6262024,2024,Warm,06,Null,NA,G,41,2024_Warm06_Null_G41,127,340,single,
186,6262024,2024,Warm,06,Null,NA,G,42,2024_Warm06_Null_G42,178.4,578.2,single?,
187,6262024,2024,Warm,06,Null,NA,G,43,2024_Warm06_Null_G43,218.4,635.5,double,
188,6262024,2024,Warm,06,Null,NA,G,44,2024_Warm06_Null_G44,265.2,656.8,double,
189,6262024,2024,Warm,06,Null,NA,G,45,2024_Warm06_Null_G45,120.9,337.5,single,
190,6262024,2024,Warm,06,Null,NA,G,46,2024_Warm06_Null_G46,148.4,416.1,double,
191,6262024,2024,Warm,06,Null,NA,G,47,2024_Warm06_Null_G47,20.2,66.5,dead?,
192,6262024,2024,Warm,06,Null,NA,G,48,2024_Warm06_Null_G48,94.1,241.2,double,
