Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
1343,7/25/24,2024,Both,01,Warm,05,O,50,2024_Both01_Warm05_O50,359.9,899.8,,
259,7/25/24,2024,Hyp,01,Both,05,B,49,2024_Hyp01_Both05_B49,245.6,546.8,,
260,7/25/24,2024,Both,01,Both,05,O,49,2024_Both01_Both05_O49,245.8,588.3,,
261,7/25/24,2024,Warm,01,Both,05,G,49,2024_Warm01_Both05_G49,227.4,595.3,,
262,7/25/24,2024,Cont,01,Both,05,W,49,2024_Cont01_Both05_W49,295.3,785.9,,
301,7/25/24,2024,Both,01,Warm,05,O,49,2024_Both01_Warm05_O49,141,366.2,,
667,7/25/24,2024,Warm,01,Cont,05,G,49,2024_Warm01_Cont05_G49,110.5,286.6,,
668,7/25/24,2024,Cont,01,Cont,05,W,49,2024_Cont01_Cont05_W49,141.8,336.4,,
669,7/25/24,2024,Both,01,Cont,05,O,49,2024_Both01_Cont05_O49,192.5,523.8,,
670,7/25/24,2024,Hyp,01,Cont,05,B,49,2024_Hyp01_Cont05_B49,277.2,725.8,,
925,7/25/24,2024,Warm,01,Hyp,05,G,49,2024_Warm01_Hyp05_G49,220.8,538.9,,
1001,7/25/24,2024,Cont,01,Hyp,05,W,49,2024_Cont01_Hyp05_W49,182.2,461.7,,
1002,7/25/24,2024,Warm,01,Hyp,05,G,49,2024_Warm01_Hyp05_G49,220.8,538.9,,
1003,7/25/24,2024,Hyp,01,Hyp,05,B,49,2024_Hyp01_Hyp05_B49,217.2,568.8,,
1004,7/25/24,2024,Both,01,Hyp,05,O,49,2024_Both01_Hyp05_O49,326.1,791.4,,
1031,7/25/24,2024,Warm,01,Both,05,G,49,2024_Warm01_Both05_G49,227.4,595.3,,
1036,7/25/24,2024,Cont,01,Warm,05,W,49,2024_Cont01_Warm05_W49,225.6,599.8,,
1125,7/25/24,2024,Hyp,01,Warm,05,B,49,2024_Hyp01_Warm05_B49,244.6,641.4,,
1336,7/25/24,2024,Both,01,Warm,05,O,49,2024_Both01_Warm05_O49,141,366.2,,
1337,7/25/24,2024,Cont,01,Warm,05,W,49,2024_Cont01_Warm05_W49,225.6,599.8,,
1338,7/25/24,2024,Hyp,01,Warm,05,B,49,2024_Hyp01_Warm05_B49,244.6,641.4,,
1339,7/25/24,2024,Warm,01,Warm,05,G,49,2024_Warm01_Warm05_G49,478.1,933.4,,
134,7/24/24,2024,Warm,06,Warm,04,G,48,2024_Warm06_Warm04_G48,110.2,260.3,,
255,7/24/24,2024,Both,06,Both,04,O,48,2024_Both06_Both04_O48,81.6,210.8,,
256,7/24/24,2024,Warm,06,Both,04,G,48,2024_Warm06_Both04_G48,228.3,554.9,,
257,7/24/24,2024,Hyp,06,Both,04,B,48,2024_Hyp06_Both04_B48,265.4,648.1,,
258,7/24/24,2024,Cont,06,Both,04,W,48,2024_Cont06_Both04_W48,335.2,803.2,,
298,7/24/24,2024,Cont,06,Cont,04,W,48,2024_Cont06_Cont04_W48,132.8,364.4,,
366,7/24/24,2024,Warm,06,Hyp,04,G,48,2024_Warm06_Hyp04_G48,152,404.8,,
557,7/24/24,2024,Both,06,Hyp,04,O,48,2024_Both06_Hyp04_O48,173.9,442.9,,
